index,true_label,pred_a,pred_b
994,frog,cat,frog
995,cat,bird,cat
997,automobile,automobile,truck
1025,dog,dog,cat
1034,frog,cat,frog
1035,frog,cat,deer
1036,airplane,airplane,deer
1040,horse,dog,cat
1042,dog,dog,bird
1043,bird,airplane,bird
1050,cat,airplane,horse
1051,bird,frog,bird
1055,dog,dog,bird
1061,automobile,automobile,truck
1094,frog,frog,deer
1100,horse,airplane,frog
1105,deer,deer,cat
1118,deer,dog,deer
1120,dog,dog,bird
1166,cat,dog,cat
1167,deer,cat,deer
1169,horse,deer,horse
1172,bird,horse,bird
1177,truck,automobile,truck
1181,cat,dog,deer
1193,dog,dog,bird
1199,truck,airplane,truck
1203,airplane,ship,airplane
1217,deer,deer,dog
1236,horse,cat,dog
1241,airplane,ship,airplane
1244,dog,dog,cat
1247,cat,airplane,deer
1248,bird,bird,airplane
1251,bird,horse,bird
1270,automobile,automobile,truck
1272,deer,deer,horse
1280,cat,dog,cat
1307,bird,airplane,bird
1308,dog,dog,cat
1334,cat,cat,bird
1339,dog,horse,cat
1346,cat,cat,deer
1373,cat,dog,cat
1394,frog,dog,frog
1403,frog,bird,frog
1429,frog,frog,cat
1442,cat,dog,cat
1443,deer,frog,deer
1445,cat,deer,cat
1456,bird,bird,deer
1469,horse,horse,deer
1470,horse,airplane,bird
1485,airplane,bird,airplane
1492,truck,automobile,truck
1494,horse,horse,bird
1496,bird,bird,frog
1503,deer,deer,cat
1513,frog,frog,deer
1521,horse,deer,horse
1527,dog,dog,cat
1529,deer,dog,bird
1538,cat,truck,cat
1545,automobile,automobile,truck
1548,dog,dog,deer
1549,automobile,automobile,truck
1567,bird,dog,bird
1577,dog,dog,cat
1580,frog,bird,dog
1589,frog,frog,deer
1592,deer,deer,cat
1595,cat,frog,cat
1605,cat,bird,cat
1606,cat,cat,dog
1607,cat,truck,cat
1610,bird,deer,bird
1618,horse,horse,cat
1620,dog,cat,dog
1626,truck,airplane,truck
1656,bird,bird,cat
1675,dog,dog,cat
1685,ship,frog,bird
1718,airplane,ship,airplane
1721,ship,ship,deer
1727,truck,automobile,truck
1732,truck,automobile,truck
1745,dog,dog,cat
1756,bird,cat,bird
1759,dog,cat,dog
1763,bird,airplane,bird
1765,deer,cat,bird
1766,frog,cat,frog
1767,bird,frog,bird
1779,cat,dog,cat
1785,airplane,airplane,bird
1788,cat,cat,frog
1789,airplane,airplane,deer
1790,horse,horse,deer
1794,cat,deer,cat
1796,airplane,airplane,ship
1803,bird,bird,deer
1804,dog,dog,deer
1811,automobile,ship,automobile
1812,dog,horse,cat
1823,airplane,horse,airplane
1835,airplane,cat,airplane
1838,frog,cat,frog
1850,automobile,automobile,truck
1858,deer,horse,deer
1862,dog,deer,cat
1868,bird,horse,bird
1883,cat,deer,cat
1885,dog,dog,cat
1886,ship,cat,bird
1888,bird,horse,bird
1895,ship,airplane,cat
1902,airplane,airplane,cat
1905,cat,cat,bird
1924,truck,cat,horse
1939,frog,horse,dog
1944,deer,cat,deer
1955,bird,horse,bird
1969,automobile,truck,horse
1993,cat,cat,bird
1996,cat,dog,cat
1998,ship,airplane,bird
2002,deer,deer,bird
2003,dog,dog,cat
2010,horse,bird,cat
2013,frog,frog,cat
2017,dog,cat,dog
2018,cat,bird,cat
2033,bird,bird,frog
2046,cat,dog,cat
2049,cat,dog,cat
2065,bird,bird,deer
2066,bird,deer,bird
2088,horse,deer,horse
2091,airplane,cat,bird
2101,frog,cat,frog
2111,truck,automobile,truck
2136,airplane,ship,airplane
2141,horse,horse,dog
2142,automobile,automobile,airplane
2159,ship,ship,airplane
2165,bird,airplane,bird
2172,dog,bird,deer
2175,cat,dog,cat
2186,truck,automobile,truck
2192,airplane,airplane,deer
2205,dog,cat,dog
2216,bird,dog,bird
2231,cat,dog,cat
2232,airplane,cat,horse
2237,frog,bird,frog
2240,truck,truck,automobile
2242,bird,deer,cat
2253,cat,cat,dog
2262,bird,deer,airplane
2267,frog,cat,frog
2271,truck,cat,airplane
2285,cat,cat,dog
2293,ship,automobile,truck
2300,cat,cat,airplane
2305,truck,truck,bird
2312,bird,bird,frog
2320,dog,dog,cat
2321,bird,cat,bird
2350,cat,cat,dog
2355,truck,airplane,truck
2362,cat,bird,deer
2377,frog,deer,frog
2379,airplane,ship,airplane
2383,bird,deer,bird
2386,deer,cat,deer
2394,frog,frog,cat
2401,cat,cat,dog
2404,airplane,airplane,deer
2409,deer,deer,bird
2422,cat,horse,deer
2423,bird,bird,frog
2435,frog,frog,airplane
2436,frog,bird,frog
2442,deer,deer,cat
2454,automobile,airplane,automobile
2481,horse,dog,horse
2486,horse,deer,horse
2496,truck,truck,cat
2500,deer,frog,deer
2509,bird,bird,airplane
2511,ship,ship,airplane
2515,bird,bird,deer
2520,automobile,automobile,truck
2526,cat,dog,deer
2533,ship,cat,truck
2547,deer,frog,deer
2548,airplane,frog,airplane
2551,bird,bird,deer
2570,airplane,cat,bird
2571,truck,automobile,truck
2592,bird,horse,deer
2609,dog,dog,cat
2632,cat,horse,cat
2634,automobile,automobile,truck
2635,frog,deer,frog
2650,dog,dog,bird
2651,dog,dog,bird
2676,deer,frog,deer
2685,bird,deer,bird
2701,automobile,automobile,truck
2703,truck,truck,airplane
2719,deer,bird,cat
2722,dog,dog,deer
2737,ship,ship,airplane
2755,dog,dog,deer
2769,bird,bird,cat
2779,cat,cat,bird
2785,deer,bird,deer
2797,frog,bird,frog
2798,cat,dog,cat
2835,deer,frog,deer
2843,automobile,airplane,ship
2844,deer,airplane,deer
2845,dog,dog,deer
2854,truck,automobile,truck
2855,cat,cat,deer
2867,horse,dog,deer
2884,frog,frog,cat
2937,cat,cat,frog
2942,dog,cat,dog
2943,automobile,truck,automobile
2948,dog,airplane,deer
2957,ship,ship,truck
2959,horse,horse,airplane
2962,ship,ship,airplane
2975,truck,truck,cat
2978,bird,bird,horse
2988,dog,cat,dog
3013,cat,dog,horse
3026,dog,horse,deer
3052,cat,bird,frog
3059,dog,horse,cat
3080,automobile,automobile,truck
3085,bird,bird,frog
3095,deer,frog,deer
3097,airplane,airplane,bird
3100,airplane,airplane,bird
3110,horse,horse,cat
3113,cat,cat,frog
3131,horse,horse,deer
3135,horse,horse,dog
3150,automobile,automobile,truck
3158,airplane,ship,airplane
3168,truck,ship,truck
3174,bird,cat,bird
3177,airplane,airplane,bird
3180,cat,frog,dog
3181,truck,automobile,truck
3204,dog,dog,cat
3206,ship,ship,airplane
3209,horse,dog,cat
3218,truck,ship,truck
3222,deer,horse,deer
3227,bird,bird,deer
3231,cat,horse,dog
3236,dog,dog,cat
3240,deer,frog,deer
3250,bird,airplane,bird
3259,cat,cat,dog
3264,dog,dog,bird
3291,dog,dog,cat
3297,deer,dog,deer
3299,airplane,ship,airplane
3301,ship,airplane,bird
3320,bird,bird,deer
3321,airplane,airplane,bird
3327,horse,deer,horse
3330,horse,horse,dog
3339,truck,truck,cat
3346,deer,bird,deer
3349,frog,bird,frog
3354,cat,cat,frog
3359,horse,dog,horse
3381,dog,cat,dog
3392,automobile,automobile,truck
3400,frog,ship,frog
3439,deer,horse,deer
3446,frog,frog,cat
3452,dog,dog,cat
3459,truck,airplane,bird
3461,horse,horse,cat
3463,cat,dog,deer
3474,bird,bird,deer
3490,airplane,airplane,deer
3491,cat,cat,dog
3496,dog,dog,deer
3497,airplane,airplane,ship
3513,cat,cat,dog
3514,bird,dog,cat
3539,cat,bird,cat
3550,airplane,deer,airplane
3557,truck,bird,frog
3561,horse,horse,dog
3571,dog,cat,dog
3594,cat,dog,cat
3596,bird,bird,frog
3601,airplane,cat,deer
3603,frog,dog,frog
3614,cat,dog,cat
3615,frog,airplane,bird
3618,deer,bird,deer
3624,bird,bird,deer
3627,deer,airplane,deer
3645,automobile,automobile,truck
3676,truck,truck,airplane
3683,ship,ship,cat
3696,deer,deer,cat
3704,dog,bird,deer
3708,deer,deer,frog
3715,automobile,automobile,truck
3716,cat,frog,deer
3719,dog,cat,dog
3724,frog,bird,frog
3733,bird,cat,bird
3755,truck,truck,automobile
3761,airplane,ship,airplane
3774,dog,dog,cat
3779,cat,cat,bird
3780,deer,cat,deer
3781,bird,dog,bird
3785,frog,bird,deer
3789,truck,automobile,truck
3799,cat,horse,cat
3835,cat,horse,cat
3842,ship,truck,ship
3851,deer,deer,dog
3868,dog,dog,horse
3883,horse,horse,dog
3899,frog,bird,frog
3909,dog,cat,bird
3922,bird,bird,cat
3923,cat,dog,cat
3924,dog,bird,deer
3928,cat,cat,bird
3945,dog,dog,cat
3953,horse,cat,bird
3980,truck,deer,bird
3995,horse,horse,truck
4000,ship,deer,airplane
4012,cat,dog,cat
4013,automobile,truck,automobile
4036,horse,airplane,deer
4051,dog,dog,cat
4052,dog,dog,frog
4066,frog,bird,frog
4071,cat,airplane,bird
4077,cat,cat,airplane
4094,cat,dog,cat
4101,bird,bird,frog
4108,bird,bird,frog
4111,deer,deer,airplane
4121,dog,dog,deer
4135,automobile,automobile,airplane
4137,deer,dog,deer
4139,dog,airplane,deer
4163,bird,bird,frog
4169,cat,dog,cat
4179,frog,bird,frog
4190,cat,horse,cat
4198,ship,ship,airplane
4204,bird,bird,frog
4217,airplane,airplane,deer
4228,airplane,ship,airplane
4244,bird,dog,deer
4247,dog,dog,bird
4255,truck,truck,airplane
4285,automobile,automobile,frog
4299,bird,bird,deer
4304,frog,automobile,airplane
4306,cat,cat,dog
4307,cat,cat,bird
4309,horse,dog,cat
4315,frog,bird,deer
4343,dog,dog,cat
4355,airplane,bird,cat
4368,deer,frog,deer
4387,airplane,airplane,bird
4391,cat,ship,cat
4411,dog,cat,dog
4423,frog,cat,bird
4438,bird,cat,bird
4463,dog,dog,bird
4471,dog,cat,dog
4474,airplane,automobile,airplane
4476,automobile,cat,dog
4493,deer,deer,bird
4495,cat,dog,cat
4503,horse,horse,cat
4519,frog,cat,frog
4520,cat,cat,horse
4529,deer,bird,deer
4537,cat,dog,cat
4542,cat,deer,cat
4545,cat,deer,cat
4547,cat,dog,cat
4559,cat,deer,cat
4563,horse,horse,dog
4565,bird,bird,deer
4581,cat,cat,bird
4605,cat,frog,cat
4614,cat,dog,cat
4615,dog,bird,deer
4616,deer,deer,dog
4623,dog,dog,cat
4628,dog,horse,dog
4630,bird,cat,frog
4632,dog,dog,deer
4638,frog,frog,deer
4639,airplane,airplane,truck
4646,bird,dog,bird
4655,horse,horse,bird
4660,horse,horse,dog
4669,frog,bird,frog
4682,cat,dog,cat
4705,cat,cat,deer
4710,cat,deer,cat
4729,bird,dog,bird
4730,bird,bird,deer
4732,bird,deer,bird
4750,horse,horse,deer
4753,bird,airplane,bird
4760,cat,cat,airplane
4786,frog,cat,frog
4792,airplane,airplane,deer
4793,frog,automobile,frog
4801,bird,deer,bird
4814,cat,cat,airplane
4820,cat,cat,bird
4833,bird,frog,bird
4843,automobile,automobile,airplane
4849,dog,horse,dog
4862,cat,cat,airplane
4868,airplane,ship,airplane
4871,horse,dog,horse
4899,bird,airplane,bird
4903,bird,bird,frog
4909,airplane,airplane,bird
4910,ship,truck,ship
4917,dog,horse,dog
4921,dog,dog,cat
4922,airplane,airplane,ship
4926,horse,horse,dog
4935,dog,dog,cat
4942,dog,deer,cat
4951,horse,bird,horse
4966,dog,dog,cat
4986,ship,ship,truck
4988,dog,dog,cat
4990,horse,horse,dog
4995,bird,dog,cat
4996,cat,cat,dog
4998,dog,deer,dog
5006,horse,horse,bird
5011,cat,deer,cat
5030,deer,deer,airplane
5046,dog,dog,cat
5056,automobile,automobile,airplane
5067,truck,automobile,truck
5070,horse,horse,dog
5071,automobile,automobile,truck
5074,airplane,airplane,frog
5077,airplane,airplane,bird
5098,dog,horse,bird
5117,horse,deer,horse
5123,horse,deer,horse
5129,bird,frog,deer
5134,dog,cat,frog
5158,deer,dog,deer
5165,bird,bird,cat
5166,truck,truck,horse
5176,cat,truck,cat
5177,deer,deer,frog
5179,dog,dog,cat
5187,deer,cat,deer
5191,cat,cat,bird
5193,deer,deer,bird
5203,frog,cat,frog
5206,cat,cat,dog
5207,ship,bird,ship
5211,horse,horse,bird
5213,cat,bird,cat
5232,cat,horse,cat
5234,horse,truck,horse
5272,cat,truck,bird
5279,airplane,truck,airplane
5290,cat,dog,horse
5298,dog,dog,bird
5309,cat,horse,cat
5310,airplane,ship,airplane
5318,automobile,automobile,airplane
5324,bird,deer,bird
5352,dog,dog,bird
5366,automobile,horse,airplane
5369,deer,bird,dog
5372,dog,ship,dog
5387,cat,cat,frog
5388,frog,dog,cat
5398,ship,ship,airplane
5401,bird,bird,airplane
5410,cat,dog,bird
5411,bird,bird,deer
5416,truck,automobile,truck
5417,deer,deer,cat
5419,bird,bird,frog
5430,horse,horse,deer
5441,dog,cat,dog
5443,frog,frog,deer
5446,frog,cat,frog
5455,truck,automobile,cat
5459,dog,dog,cat
5460,airplane,airplane,cat
5496,deer,deer,frog
5508,horse,horse,dog
5518,cat,cat,dog
5525,cat,airplane,cat
5534,frog,bird,frog
5537,bird,dog,bird
5547,bird,bird,ship
5549,dog,cat,dog
5552,dog,dog,cat
5558,horse,horse,dog
5560,cat,dog,cat
5577,bird,deer,bird
5581,frog,frog,bird
5586,ship,ship,airplane
5607,frog,airplane,frog
5609,dog,cat,airplane
5639,cat,bird,cat
5646,deer,deer,airplane
5654,deer,deer,bird
5665,bird,bird,airplane
5677,horse,horse,deer
5679,airplane,airplane,deer
5708,bird,horse,dog
5714,bird,bird,deer
5718,automobile,ship,airplane
5719,bird,dog,bird
5752,cat,cat,truck
5755,deer,cat,deer
5763,truck,truck,airplane
5774,dog,dog,cat
5795,horse,horse,deer
5799,automobile,automobile,truck
5803,automobile,automobile,truck
5806,airplane,ship,airplane
5815,cat,cat,dog
5816,dog,cat,dog
5820,dog,cat,dog
5827,airplane,bird,airplane
5830,dog,cat,bird
5837,bird,cat,bird
5839,bird,bird,deer
5840,bird,cat,bird
5859,bird,bird,cat
5860,airplane,ship,airplane
5862,bird,cat,bird
5871,frog,cat,bird
5878,deer,cat,deer
5883,frog,cat,deer
5886,bird,cat,deer
5889,frog,bird,frog
5890,cat,cat,truck
5903,deer,airplane,deer
5909,automobile,automobile,truck
5910,bird,dog,bird
5915,dog,cat,dog
5924,deer,bird,deer
5927,frog,frog,bird
5930,dog,dog,bird
5932,deer,dog,deer
5940,horse,bird,frog
5959,deer,bird,deer
5984,dog,dog,cat
5987,cat,cat,horse
5991,cat,dog,cat
5992,deer,deer,horse
5996,deer,bird,deer
6008,cat,airplane,frog
6010,automobile,automobile,frog
6024,bird,bird,cat
6025,frog,dog,deer
6028,ship,ship,bird
6035,dog,dog,cat
6039,ship,ship,frog
6046,bird,bird,frog
6071,horse,deer,horse
6077,airplane,airplane,ship
6127,dog,dog,frog
6134,cat,cat,truck
6144,horse,cat,bird
6146,airplane,automobile,truck
6160,bird,airplane,bird
6161,deer,bird,frog
6162,airplane,truck,airplane
6165,dog,dog,cat
6174,cat,dog,cat
6175,cat,dog,cat
6183,dog,dog,cat
6190,deer,cat,deer
6195,automobile,automobile,airplane
6210,deer,frog,cat
6213,cat,cat,frog
6232,bird,frog,bird
6243,deer,deer,frog
6245,frog,dog,frog
6262,ship,ship,airplane
6264,frog,bird,frog
6283,cat,dog,cat
6293,cat,dog,cat
6305,frog,frog,cat
6308,deer,deer,cat
6334,airplane,airplane,bird
6353,bird,airplane,bird
6361,airplane,ship,airplane
6371,automobile,automobile,truck
6382,deer,dog,deer
6383,cat,bird,cat
6386,dog,deer,dog
6393,cat,dog,bird
6396,deer,deer,frog
6401,deer,horse,deer
6405,automobile,truck,cat
6406,cat,dog,cat
6428,dog,dog,frog
6434,airplane,ship,airplane
6438,deer,deer,bird
6439,cat,deer,cat
6440,cat,dog,cat
6443,frog,bird,frog
6481,airplane,ship,airplane
6482,horse,horse,deer
6486,ship,ship,deer
6491,airplane,cat,bird
6496,horse,horse,cat
6497,deer,bird,deer
6510,deer,cat,deer
6514,cat,deer,bird
6522,truck,automobile,truck
6545,truck,ship,airplane
6574,airplane,ship,airplane
6581,automobile,truck,automobile
6590,dog,horse,dog
6605,frog,frog,bird
6631,horse,cat,airplane
6640,dog,cat,dog
6656,frog,frog,bird
6666,bird,bird,deer
6669,dog,deer,dog
6671,dog,dog,cat
6678,horse,horse,bird
6681,truck,truck,airplane
6697,bird,horse,bird
6698,cat,dog,cat
6706,frog,cat,frog
6719,bird,bird,cat
6726,cat,cat,deer
6732,cat,deer,cat
6748,airplane,bird,deer
6768,bird,cat,bird
6790,horse,horse,cat
6792,cat,ship,deer
6795,truck,truck,cat
6833,cat,dog,frog
6842,cat,dog,deer
6853,deer,dog,deer
6856,frog,deer,frog
6857,bird,deer,bird
6860,airplane,airplane,bird
6869,dog,cat,dog
6872,airplane,frog,airplane
6879,automobile,truck,automobile
6887,deer,deer,cat
6896,frog,frog,deer
6901,bird,truck,bird
6912,cat,horse,bird
6916,deer,cat,deer
6930,bird,bird,airplane
6950,ship,airplane,ship
6958,horse,horse,airplane
6969,bird,cat,bird
6973,cat,dog,cat
6980,airplane,airplane,ship
6984,automobile,automobile,truck
6997,ship,cat,ship
7005,automobile,truck,ship
7017,automobile,automobile,truck
7021,automobile,automobile,truck
7035,automobile,automobile,truck
7036,cat,bird,cat
7040,horse,airplane,bird
7041,deer,airplane,deer
7046,truck,truck,airplane
7054,bird,airplane,bird
7061,deer,horse,deer
7080,dog,airplane,dog
7082,bird,bird,airplane
7090,bird,dog,bird
7097,horse,horse,cat
7119,dog,dog,airplane
7120,horse,dog,horse
7126,airplane,ship,airplane
7134,deer,bird,frog
7143,deer,bird,deer
7150,cat,cat,frog
7159,frog,frog,deer
7174,cat,cat,frog
7177,bird,airplane,bird
7202,cat,dog,bird
7217,ship,ship,airplane
7218,truck,airplane,truck
7231,ship,ship,airplane
7235,bird,frog,bird
7242,horse,horse,dog
7261,ship,ship,airplane
7265,dog,horse,dog
7283,cat,deer,cat
7313,cat,cat,bird
7314,cat,cat,frog
7316,automobile,automobile,ship
7343,horse,horse,bird
7367,cat,dog,deer
7384,cat,cat,dog
7398,dog,cat,bird
7401,cat,bird,cat
7406,horse,horse,cat
7408,deer,frog,cat
7411,dog,dog,cat
7429,dog,dog,cat
7439,dog,bird,cat
7440,cat,dog,cat
7444,truck,automobile,truck
7471,frog,cat,dog
7489,cat,deer,cat
7491,truck,truck,airplane
7497,cat,dog,cat
7508,bird,bird,deer
7509,cat,horse,dog
7519,bird,bird,airplane
7524,cat,ship,deer
7539,dog,dog,cat
7542,ship,airplane,ship
7556,bird,airplane,bird
7561,bird,cat,deer
7573,automobile,airplane,automobile
7578,truck,automobile,truck
7582,dog,cat,dog
7598,cat,dog,cat
7600,ship,automobile,bird
7601,ship,ship,airplane
7609,airplane,airplane,truck
7611,horse,horse,deer
7620,dog,dog,cat
7623,automobile,airplane,automobile
7638,automobile,ship,automobile
7644,cat,bird,cat
7648,airplane,truck,airplane
7655,ship,ship,airplane
7666,bird,deer,bird
7669,horse,horse,deer
7674,automobile,airplane,automobile
7685,truck,automobile,truck
7708,bird,bird,deer
7723,cat,bird,cat
7744,deer,cat,deer
7760,bird,airplane,bird
7761,bird,cat,bird
7763,deer,bird,cat
7778,airplane,airplane,frog
7784,horse,deer,bird
7787,dog,dog,cat
7790,ship,airplane,ship
7792,truck,automobile,truck
7794,dog,dog,deer
7802,bird,dog,bird
7815,airplane,airplane,ship
7822,bird,bird,deer
7827,cat,cat,dog
7831,bird,bird,deer
7853,cat,dog,bird
7875,bird,dog,bird
7885,cat,cat,bird
7893,automobile,ship,automobile
7896,deer,cat,deer
7906,bird,bird,deer
7908,truck,truck,ship
7909,automobile,automobile,truck
7918,deer,frog,cat
7921,deer,horse,deer
7924,cat,cat,dog
7926,dog,dog,cat
7930,bird,bird,airplane
7933,cat,cat,bird
7941,dog,frog,deer
7952,cat,ship,bird
7958,dog,dog,cat
7959,dog,dog,bird
7962,cat,dog,cat
7967,truck,automobile,truck
7970,cat,dog,cat
7983,frog,frog,ship
7985,dog,dog,bird
7989,horse,deer,horse
7993,bird,airplane,bird
8003,deer,cat,deer
8006,truck,horse,truck
8009,dog,dog,frog
8013,ship,ship,airplane
8015,ship,ship,airplane
8016,deer,deer,cat
8020,frog,cat,horse
8035,automobile,automobile,truck
8041,ship,cat,ship
8043,airplane,bird,airplane
8046,ship,airplane,truck
8047,airplane,deer,airplane
8048,airplane,bird,airplane
8066,truck,dog,truck
8077,cat,cat,dog
8087,bird,dog,bird
8109,bird,frog,bird
8110,dog,cat,dog
8115,dog,dog,cat
8119,frog,cat,bird
8131,cat,cat,frog
8143,truck,truck,cat
8153,deer,cat,deer
8172,dog,dog,cat
8183,cat,cat,dog
8196,cat,truck,cat
8200,cat,cat,dog
8209,bird,deer,bird
8219,cat,cat,frog
8222,automobile,ship,automobile
8226,ship,ship,truck
8234,ship,automobile,ship
8236,dog,cat,frog
8261,automobile,automobile,truck
8262,airplane,airplane,bird
8266,dog,dog,cat
8268,dog,dog,cat
8269,ship,frog,airplane
8272,truck,truck,automobile
8276,truck,truck,airplane
8281,cat,cat,dog
8286,horse,dog,horse
8291,frog,frog,deer
8301,dog,dog,deer
8304,automobile,truck,frog
8305,deer,cat,deer
8314,frog,bird,frog
8324,cat,cat,dog
8333,automobile,automobile,dog
8335,horse,deer,bird
8342,automobile,automobile,airplane
8351,airplane,airplane,bird
8363,bird,dog,bird
8364,horse,airplane,deer
8378,dog,dog,cat
8401,cat,dog,cat
8408,frog,frog,bird
8432,dog,cat,dog
8440,dog,dog,cat
8443,bird,deer,bird
8449,automobile,automobile,airplane
8450,truck,truck,cat
8453,truck,truck,ship
8457,bird,deer,bird
8473,bird,bird,airplane
8478,dog,dog,cat
8480,bird,cat,bird
8487,deer,deer,bird
8488,truck,horse,truck
8491,cat,cat,bird
8493,bird,bird,dog
8535,horse,horse,dog
8542,bird,cat,bird
8545,frog,frog,cat
8548,cat,dog,frog
8549,automobile,automobile,truck
8562,bird,bird,airplane
8576,bird,airplane,bird
8577,cat,cat,frog
8578,bird,dog,bird
8598,cat,bird,cat
8617,cat,deer,cat
8624,truck,automobile,truck
8632,cat,cat,ship
8633,cat,bird,deer
8639,horse,airplane,horse
8642,cat,cat,frog
8644,ship,airplane,ship
8650,bird,bird,deer
8666,airplane,ship,airplane
8681,bird,airplane,deer
8691,frog,deer,bird
8699,deer,cat,dog
8700,cat,cat,deer
8728,frog,cat,dog
8735,cat,bird,cat
8743,airplane,ship,bird
8749,dog,cat,dog
8752,dog,dog,cat
8756,bird,bird,frog
8757,ship,frog,deer
8773,frog,bird,frog
8775,automobile,automobile,airplane
8778,cat,airplane,cat
8779,horse,deer,dog
8785,ship,ship,airplane
8794,dog,dog,cat
8803,cat,dog,bird
8806,cat,bird,frog
8811,automobile,automobile,bird
8815,cat,automobile,cat
8818,cat,dog,cat
8824,cat,dog,cat
8825,airplane,automobile,airplane
8827,bird,bird,horse
8840,bird,cat,bird
8848,cat,horse,cat
8854,deer,deer,bird
8865,horse,horse,deer
8923,frog,bird,frog
8932,frog,dog,horse
8940,frog,frog,horse
8941,airplane,airplane,cat
8943,horse,dog,deer
8949,horse,deer,horse
8953,truck,truck,airplane
8972,truck,truck,airplane
8973,dog,dog,cat
8985,truck,truck,airplane
8993,airplane,truck,airplane
9002,frog,frog,deer
9014,horse,horse,cat
9036,deer,deer,horse
9040,bird,dog,bird
9056,deer,deer,cat
9059,bird,bird,cat
9065,airplane,deer,airplane
9067,truck,automobile,truck
9068,frog,frog,deer
9071,horse,cat,horse
9073,deer,deer,frog
9082,bird,cat,bird
9102,horse,horse,deer
9103,horse,dog,horse
9107,dog,horse,bird
9120,cat,cat,dog
9145,automobile,automobile,truck
9160,dog,cat,dog
9190,cat,dog,deer
9213,bird,horse,bird
9215,dog,dog,cat
9216,frog,cat,bird
9218,cat,cat,deer
9225,dog,ship,cat
9230,bird,deer,airplane
9231,horse,bird,cat
9235,airplane,airplane,dog
9237,horse,cat,horse
9250,cat,cat,dog
9252,horse,horse,deer
9254,horse,dog,cat
9269,dog,cat,frog
9286,horse,horse,dog
9292,cat,cat,horse
9294,frog,bird,frog
9300,dog,cat,dog
9301,horse,horse,bird
9315,horse,horse,deer
9336,cat,dog,cat
9351,automobile,automobile,truck
9352,automobile,automobile,ship
9360,dog,airplane,cat
9370,ship,automobile,bird
9375,cat,cat,deer
9376,dog,dog,cat
9385,horse,horse,cat
9386,deer,bird,frog
9414,dog,dog,cat
9426,bird,deer,bird
9430,frog,deer,frog
9434,horse,horse,bird
9435,bird,cat,bird
9436,automobile,automobile,frog
9452,bird,airplane,deer
9459,airplane,airplane,bird
9462,bird,bird,airplane
9465,dog,horse,deer
9467,bird,horse,deer
9468,horse,horse,dog
9471,frog,frog,deer
9483,airplane,ship,airplane
9497,cat,cat,frog
9501,frog,airplane,frog
9503,bird,bird,deer
9505,cat,dog,deer
9514,dog,dog,cat
9522,cat,bird,cat
9551,dog,cat,dog
9560,truck,truck,airplane
9562,cat,cat,bird
9563,automobile,automobile,truck
9579,bird,bird,frog
